Sentence	Topic_Label
थाइरॉयड से बचना है तो कैल्शियम लें	5
अख़बार के दफ़्तरों के बाहर खड़े रहते थे मंटो	3
पाकिस्तान ने दिया भारत को 'विशेष दर्जा'	1
पेश हुआ भूमि अधिग्रहण बिल	0
दतिया: 'हादसे का दुख तो है पर तीर्थ भी ज़रूरी है'	0
सरकार को ग़रीबों की तादाद नहीं मालूम	0
आंतरिक सुरक्षा बैठक से पहले ही विवाद शुरू	0
चीन में जबरन गर्भपात की फोटो पर गुस्सा	2
दिल्ली: भारी सुरक्षा के बीच मतदान	0
नजरियाः 'आधार लिंक करने के गंभीर परिणामों को पहचाने सरकार'	0
फेसबुक पर बांका जवान बता कर ठग लिया	0
ओबामा: चुनौतियों और विरासत की जंग	2
सोशल सरगर्मी: ट्विटर फ़ेसबुक पर मोदी छाए	0
उत्तराखंड में नमाज़ के लिए अलग से छुट्टी	0
आउटसोर्सिंग पर भारत को उम्मीद	1
रोनाल्डो को मिल रही है रिकॉर्ड क़ीमत	4
चीन का सबसे लंबा अंतरिक्ष अभियान शुरु 	5
रूस के अस्पताल में लगी आग, 38 की मौत	2
मां की हत्या के लिए मुशर्रफ दोषी: बिलावल	2
भारत में बन रहा है एशिया का सबसे बड़ा संरक्षित वन क्षेत्र 	5
अगर मोनालिसा भारतीय होती तो?	0
मिलिए पाकिस्तान की पहली महिला फ़ाइटर पायलट से	2
भारत का 20 लाख साल पुराना इतिहास देखेंगे?	0
खुद को भारतीय हिप्पी मानती हूं: लेडी गागा	3
भिखारियों को मिलेंगे हर रोज़ 100 रूपए	2
उत्तर कोरिया की रॉकेट लॉन्च करने की तैयारी	1
ये हैं चंदौली के ‘ऑनलाइन शॉपिंग हीरो’ 	0
ये हैं शिवसेना के 'मोदी'...	0
शेर, भालू, भेड़िए रह गए हैं आधे	2
निशानेबाज़ तारा शाहदेव के पति गिरफ़्तार	0
क्या वाकई 'नन्हा द्वीप' है ग्रेट ब्रिटेन?	1
सलीम खानः मोदी से मेरे निजी संबंध हैं, कांग्रेस का वोटर हूँ	3
उन्नाव: सोने की खोज में मिलीं लोहे की कीलें 	0
नाइजीरिया: 'बोको हराम के 200 चरमपंथी मारे गए'	2
एक कंपनी ऐसी भी !	0
बिन पानी सब सूना	0
बच्चों की मौत कितना झकझोरती है आपको?	0
रूस से संबंधों के लेकर डोनल्ड ट्रंप के दामाद भी एफ़बीआई जांच के घेरे में	2
इतना ख़तरनाक क्यों है इबोला?	5
पाकिस्तान को जंगल नहीं बनने देंगे: शरीफ़	2
कांग्रेस कार्यालय के सामने सिखों का प्रदर्शन	0
मानवाधिकार कार्यकर्ता साईबाबा के घर पुलिस छापा	0
मनमोहन नहीं जाएंगे श्रीलंका: अकबरुद्दीन	0
वायग्रा 'लूटने वाला' पकड़ा गया	5
संन्यास की सलाह देने वालों को सचिन का करारा जवाब	4
खतरनाक रहा बीच अब सैलानियों की सैरगाह	0
एनसीपी ने किया महाराष्ट्र का बलात्कार: राज ठाकरे	0
BBC SPECIAL: 'सरबजीत की पत्नी की बिंदी उतारी थी, सिंदूर मिटाया था'	0
राजीव गांधी के 'हत्यारे' को गोल्ड मेडल 	0
गुजरात में फ़ैसले का अंतिम चरण	0
क्या है योगी आदित्यनाथ की हिंदू युवा वाहिनी	0
'रोहिंग्या मुसलमानों पर म्यांमार की कार्रवाई जातीय नरसंहार'	2
टूटी सड़कें, उखड़े पेड़, बंद रेल ट्रैक...यह बिहार की बाढ़ है	0
श्रीलंका में तमिल राष्ट्रगान बंद	2
टेक्सस धमाके में कई लोगों की मौत	2
विटामिन डी सप्लिमेंट लेना कितना ज़रूरी?	5
गुलज़ार-राखी के तलाक़ पर बोस्की का इंटरव्यू	3
भारतीय टीम को हारने की लत क्यों लगी?	4
पाकिस्तानः पेशावर उड़ान नहीं भरेंगी तीन एयरलाइंस	2
'भारत-ऑस्ट्रेलिया परमाणु समझौता सही दिशा में'	2
वरुण के ख़िलाफ़ आरोप पत्र पेश	0
क़ानूनी राय लेने के बाद ही रामदेव पर कार्रवाई: पुलिस	0
23 साल से उन आंखों को है लापता पति की तलाश	1
एलजी का ‘बिग फ़ोन’ बिग बी के हाथों लॉन्च	0
आसान नहीं है नडाल की राह	4
संस्कृत इतनी विवादास्पद क्यों है?	0
गैंगरेप: आठ साल बाद सुप्रीम कोर्ट ने सुनी फरियाद	0
सोशल: हाफ़िज़ सईद को नज़रबंद किए जाने पर क्या बोले पाकिस्तानी?	1
इराक़: मोसूल और तिकरित पर हमले की निंदा	2
पूर्व दूर संचार मंत्री ए राजा जेल से रिहा	0
नाबालिग अभियुक्त को 'नहीं हो सकती फांसी'	0
गैंडों के सींग में माइक्रोचिप लगाने की योजना	2
'शरिया क़ानून के पैरोकार' हैं पाकिस्तानी युवा	2
फ़ुटबॉल खिलाड़ियों की 'नौटंकी'	4
गर्भवती कांग्रेस विधायक की जनता ने की पिटाई	1
बिल्ली और चूहे पर बने रोचक मुहावरे	1
दसवीं में ग्रेडिंग प्रणाली की पड़ताल 	0
हथियारों में कमी, सेना की जरूरतें पूरी न हुईं: पूर्व सेनाध्यक्ष 	0
इराक: रैली पर हमला, 22 मौंते, 50 घायल	2
कश्मीर: इस्लामिक स्टेट के नए वीडियो के मायने क्या है?	0
अमरीका: बेरोज़गारी घटने के आसार कम	1
ऐसे मच्छर जो मलेरिया न फैलाएँ	5
मोदी के आसपास 'मंडराते रहे' लालू, नीतीश	0
हार की गाज युवी, जहीर और हरभजन पर	4
मेरी जान को कोई ख़तरा नहीं: आमिर ख़ान	3
अमावस की रात में हाथियों का कहर	0
अस्पताल अग्निकांड, 'हत्या' का मामला दर्ज	0
कौन है यूरोपीय संघ का सबसे युवा विदेश मंत्री?	2
100 साल पहलेः फ़ौजी पति को भेजे बच्चों के बाल	2
इतिहास के पन्नों से	1
इला भट्ट मेरे आदर्शों में से एक: हिलेरी	1
इरोम शर्मिला रिहा, लेकिन भूख हड़ताल जारी	0
पहले छप्पर फ़टा फिर पैसा मिला: सुशील कुमार	3
सलमान संजीदा इंसान हैं: ज़रीन	3
कश्मीर में पत्रकारों की ‘आज़ादी’ की लड़ाई	0
सऊदी अरब: धार्मिक गुरु बेटी की हत्या के दोषी	2
बीबीसी ने महारानी से माफ़ी माँगी	1
सिंगूर मामले में ममता को झटका, टाटा को राहत	0
नई दूरसंचार नीति बनेगी: सिब्बल	0
बेटियों की 'हत्या' करने वाली मां को उम्र क़ैद 	2
खुर्शीद के खेद जताने से मामला हुआ ख़त्म	0
अदालतों में क्रांतिकारी परिवर्तन लाएगा इंटरनेट: पित्रोदा	0
IPL 2018: करोड़ों रुपये ख़र्च करके इन खिलाड़ियों को पुरानी टीमों ने बनाए रखा	4
यूक्रेनः सैन्य हेलिकॉप्टर मार गिराया, जनरल की मौत	2
कुलपति पर बरसे मुसलमान नेता	0
हाफिज पर 'इनाम' पर अदालत ने सरकार से जवाब मांगा	2
मुलायम और अखिलेश नहीं बचे सीबीआई से	0
मध्य प्रदेश: विदेशी महिला के साथ गैंगरेप, छह को उम्रकैद	0
'सीबीआई की वैधता बचाने का पूरा प्रयास करेंगे'	0
कितना दमदार था 'प्रधानसेवक' मोदी का भाषण?	0
क्रिकेट: रोमांचक मुकाबले में भारत की हार 	4
जब मुलायम बोले, 'चिंता मत करिए, अब पूरी बात सुनिए'	0
पाकिस्तान: 18 घंटों तक की बिजली कटौती, हाल बेहाल	2
मिलिए 'चतुर' बीरबल के परिवार से	0
वाह रे, बिहार की ' ग्लोबल मीट ' ! 	0
बेटे की मौत ने कैसे बदल दी ज़िंदगी	1
जोधपुर में बच्ची को मिल ही गई उसकी माँ	0
ताबड़तोड़ हमले को देख रणनीति एड्जस्ट की: विजेंदर	1
सनी को सेंसर का झटका	3
'भारत की तरह अफ़्रीका के लिए भी सिरदर्द चीन'	2
नन्ही मशीन जांच सकती है स्तन कैंसर	0
शहर जहां बच्चों को गोली मारी जा रही है	2
आईआईटी में 12 वर्षीय सत्यम का मास्टर स्ट्रोक	0
बस्तर बना बड़ा राजनीतिक अखाड़ा	0
रिहाई की खुशी में भुला दी गई सिपाहियों की मौत	0
भाजपा को चुनावों में पाकिस्तान क्यों याद आता है?	0
हॉकी वर्ल्ड कप में भारत की पहली जीत	4
लिपस्टिक अंडर माई बुर्काः सेक्स की सेल्फ़ी वाली फ़िल्म पर निहलानी के तर्क	3
घड़ी कुछ ख़ास है क्योंकि 95 लाख की है	2
जिन्होंने अपने बलात्कारियों को मार डाला	0
क्या वाकई पैसा वसूल है गूगल नेक्सस 5?	5
मुंबई: चार मंज़िला इमारत गिरी, 13 की मौत	0
एंटी टैंक रॉकेट लेकर पुलिस के पास पहुंचा किशोर	2
क्या होता है जब दिमाग की बत्ती जलती है	2
सुर्ख़ियों से क्यों ग़ायब हैं राहुल गांधी?	0
टीम अन्ना पर जूता फेंका गया	0
सोने की तरह शोभन सरकार भी हैं रहस्यमय	0
यूरोप में विकास कैसे 	1
बनारसः केजरीवाल, राहुल और अब अखिलेश यादव	0
22 साल के कार्लसन विश्व शतरंज के नए बादशाह	4
जेल में कट रही ज़िंदगी को उम्मीद	1
अनिश्चितताओं के बीच आर्थिक सुधार जारी	1
मोदी के भाषण को 10 में से कितने अंक देंगे?	0
जब बीबीसी पत्रकार पर भड़के डोनल्ड ट्रंप	2
फिल्म रिव्यू: हिम्मतवाला	3
बीपी तेल रिसाव का मुआवजा देने को तैयार	1
शाही स्नान: फ्रेंच फोटोग्राफर ने बिना अनुमति हेलिकॉप्टर से फोटो खीचीं	0
फाँसी पर बहस: क्या मौत देने से बच सकती हैं ज़िंदगियाँ	0
फेसबुक चैट का संबंध सेहत से!	1
किसको फ़र्क पड़ेगा नए आर्थिक सुधारों से	0
क्या राजनीतिक विचार विरासत में मिलते हैं?	5
सोशल- टीम इंडिया के देवर संग अनुष्का भाभी का मौजा ही मौजा देखा आपने?	1
10 बातें जो पिछले हफ़्ते तक नहीं पता थीं	2
गुलबर्ग सोसाइटी दंगा, पर्याप्त सबूत नहीं:अदालत	0
पाकिस्तान: पंजाब के विभाजन पर विवाद 	2
नए साल से इन फ़ोन पर नहीं चलेगा व्हाट्सऐप	5
छत्तीसगढ़: रायपुर में घुसा जंगली हाथियों का दल	0
जनसंख्या बढ़ाने में जुटे पारसी 	0
पाकिस्तान में कटासराज मंदिर पर सुप्रीम कोर्ट का सख़्त आदेश	2
'कोई चिकन मोमोज़, तो कोई चाउमिन पुकारता है'	0
श्रीलंका में सामूहिक कब्र की जांच 	1
मैं इस लम्हे के लिए तैयार था: विजय कुमार 	4
इतिहास के पन्नों से	1
कहाँ गया बीसीसीआई के 'सुपरकिंग' का वादा!	0
पाकिस्तान: सरकारी स्कूलों में जिहाद की पढ़ाई	2
हिमेश पर फिर लगा गाना चुराने का इल्जाम	3
ज़्यादा माइनिंग ज़्यादा माओवाद: जयराम	0
चिकित्सा नोबेल से वैटिकन नाराज़	1
एड्स से 'मुक्त' बच्ची में फिर पाया गया वायरस	2
मुंबई में पत्रकार की गोलीमार कर हत्या	0
50 की उम्र में सिंगर जेनेट जैक्सन बनीं मां	2
सरबजीत के लिए राष्ट्रपति से फिर गुहार	2
बाहुबलीः ये रिझाना है या बलात्कार?	3
फिल्मों में अच्छा गा नहीं सकूंगी: लता मंगेशकर	3
1965 और 1971 की लड़ाइयां लड़े हैं त्यागी	0
लोगों को मज़बूत नेतृत्व की ज़रूरत: शरद पवार	0
उल्लू ने बिगाड़ा शादी का प्रोग्राम	2
अंतरिक्ष में अकेलेपन का साथी बनेगा बोलने वाला रोबोट	5
जलियाँवाला पर माफ़ी नहीं, सिर्फ़ शर्मनाक कहा	0
अफगान बॉक्सर ने जीती अमन की जंग	2
मृत पति के शुक्राणु रखने की गुहार	2
सू ची भारत में अपने कॉलेज जाएँगी, नेताओं से मिलेंगी	0
आख़िर क्यों बंद हुआ कपिल शर्मा का शो?	3
वह संदिग्ध 'हॉट' अपराधी है या फ़ेसबुक सेलेब्रिटी	2
नाइजीरिया में 'इस्लामिक स्टेट' का एलान	2
धूम्रपान करने वालों पर टीबी की मार	5
सीक्वल फ़िल्में जो न बनतीं तो अच्छा होता	3
यूएस ओपन में नहीं खेलेंगे नडाल	4
युद्ध कैदियों को प्रताड़ित करने में मदद करते थे चिकित्सक	2
ट्विटर पर सलमान रुश्दी	1
मुलायम पर बोलने से रोका तो छोड़ दूंगा कांग्रेस: बेनी	0
अब दो महीने तक खराब नहीं होगी आपकी ब्रेड!	5
भारत का प्रदर्शन निराश करता है: लक्ष्मी मित्तल	0
बहुत कठिन है डगर मंगल की	0
क्या ज़्यादा गंदा है -टॉयलेट या किचन?	5
जानवरों के साथ सेक्स अब और नहीं	2
गोपनीयता की नीति	1
ईरान में प्रदर्शन के दौरान हिंसा और आगज़नी	2
पाकिस्तानः चरमपंथियों के ठिकानों पर हवाई हमले	2
मुशर्रफ के ख़िलाफ़ देशद्रोह का मुकदमा टला 	2
भारतीय टीम में वॉशिंगटन को मिली जगह	4
'हमारी छत पर न लगाएं मिसाइलें'	1
उत्तराखंड बाढ़: अब तक नहीं लौटे तो अंतिम संस्कार शुरू	0
एसएफआई नेता की मौत पर कोलकाता में बवाल	0
अपराध यहाँ, सज़ा वहाँ	0
ओसामा के रसोइए ने अपराध क़बूल किया	1
चीन का तीसरा प्लेनम, क्या है अहमियत?	2
कश्मीर में सीआरपीएफ़ कैंप पर चरमपंथी हमला, सात की मौत	0
क्या चश्मे बद्दूर का जादू फिर से चलेगा?	3
छत्तीसगढ़: पहले चरण में 15 उम्मीदवार 'दाग़ी'	0
अनचाहे गर्भधारण से बचने की नई दवा	5
ड्रेन पाइप से कृत्रिम टांग बनाने वाला पाकिस्तानी डॉक्टर	5
पब में ‘नन’ : पिलाने वाले पर जुर्माना	2
मुंबई बलात्कार पर लोगों में आक्रोश	0
बेकम खरीदेंगे मियामी फ़ुटबॉल फ्रेंचाइज़ी	4
जब ट्विटर पर होगी परीक्षा की तैयारी	5
वेस्टइंडीज़ को हरा श्रीलंका फ़ाइनल में	4
बीस वर्ष की मेहनत, क्रायोजेनिक में सफलता	5
अमरीका राष्ट्रपति चुनाव: फिर दो-दो हाथ करेंगे ओबामा-रोमनी	2
अमरीका के बाद-कैसा होगा इराक़?	2
मिस्र में राष्ट्रपति का संसद बहाली का आदेश रद्द	1
भारत पहुँचा सरबजीत सिंह का शव 	0
चांद की सैर कराएगी ये कंपनी!	5
पिस्टोरियस की मृत गर्लफ्रेंड का रिएलिटी शो	3
तंदुरुस्ती के लिए सुस्ती से क्यूं न कर लें कुट्टी!	5
दिमाग़ी कसरत: छठी पहेली	2
चीनः इंटरनेट पर निगरानी करतीं 40 लाख आंखें	2
क़ैद से छूटा एक फ़ौजी जो जेल वापस लौट गया	2
बर्ड फ्लूः हॉंगकॉंग में मारी जाएंगी 20,000 मुर्गियां	2
गुरुजी के खिलाफ कुछ नहीं सुनती!	3
किंगफिशर ने अंतरराष्ट्रीय सेवा रोकी, लाइसेंस बरकरार	1
नेट की आज़ादी के लिए अमरीकी निगरानी ज़रूरी	2
राष्ट्रपति का हमशक्ल होने की इतनी बड़ी सजा!	0
सोशल- 'जवाब देने के लिए नंगी तस्वीरें, शर्म आती है'	1
मंडेला की रिहाई के 20 साल	1
नज़रिया: 'ना डर, ना आत्मसमर्पण' से सुलझेगी कश्मीर समस्या?	0
हमने कहा फ़ेसबुक, ज़करबर्ग बोले ब्यूटीफ़ुल! 	0
चीन में आई शुक्राणु दान की 'हैंड्स फ्री' मशीन 	2
पहली बार द. अफ्रीका ने जीता 'क्रिकेट वर्ल्ड कप' 	4
कामोत्तेजक पत्र अब नहीं रहे राज़	2
खिलाड़ियों पर लगा प्रतिबंध, लेकिन अधिकारी बचे	4
मोसूल बांध पर क़ब्ज़े के लिए हवाई हमले	2
सीरिया में 'सैन्य कार्रवाई पर जोर नहीं देगा' अमरीका	2
रेप की सज़ा 500 रुपए और 35 किलो चावल !	0
सस्ते स्मार्टफोन का बढ़ता बाज़ार	2
तीन बहनों के साथ बलात्कार, शव कुँए में डाले	0
'क्या मोदी की वापसी से डरता है बीसीसीआई?'	4
पेशावर में पोलियो उन्मूलन अभियान फिर टला	2
काम देखिए, उम्र नहीं: 'सबसे बुज़ुर्ग' प्रत्याशी	0
बीएचयू कैंपस से राष्ट्रवाद ख़त्म नहीं होने देंगे: कुलपति	0
साइबर जासूसी से बचने के लिए ब्राज़ील की अपनी ईमेल सेवा	2
नोएडा बलात्कार मामले में तीन हिरासत में	0
अमरीकी राष्ट्रपति ओबामा की आमदनी घटी	2
हिंदी दिवस पर मेरी प्रिय कविता	0
समलैंगिकों को वापस अंधेरे में नहीं धकेल सकते :विक्रम सेठ	0
दुखदायी वर्तमान, अनिश्चित भविष्य	1
क्या मोदी के नाम पर जद-यू के भीतर हो रहा है घमासान?	0
हिमाचल का हर दूसरा विधायक है राजपूत, ऐसा कैसे?	0
भोपाल गैस पीड़ित दबाएंगे 'नोटा' बटन	0
रणबीर से तुलना नहीं कर सकता: अमिताभ	3
लापता विमान की तलाश में जुटे कई देश	2
इराक युद्ध: 10 साल बाद कैंसर, बीमारियों से जूझते बच्चे	2
चीनः बो शिलाई ने घोटाले की 'थोड़ी जिम्मेदारी' ली	2
'पश्चिम की कठपुतली' हैं विद्रोही :असद	2
रम में व्हिस्की या व्हिस्की में वोदका,  हैंगओवर किससे कम होगा	5
बाज़ार में आ रहा है 'सस्ता आईफ़ोन'	5
चार अरब साल में सात किलोमीटर सिकुड़ चुका है बुध ग्रह	5
डियर ओबामा, आप मेरी जगह होते तो क्या करते....	2
सरदार पटेल के बारे में कितना जानते हैं आप	0
'देशद्रोह का मामला अज्ञानता और मूर्खता दोनों है'	0
वॉशिंगटन में ट्रेन हाइवे पर गिरी, तीन की मौत, कई घायल	2
क्या रांची में जमा ली हैं चरमपंथ ने जड़ें? 	0
मारुति के मानेसर प्लांट में झड़प, एक मौत	0
धीमा होगा नैटो का अभियान:कमांडर	2
शाहरुख़-ऋतिक पर भारी कामसूत्र 3 डी?	3
एक और ग्रह 'जहाँ पानी होने की संभावना'	5
बिन शादी एक से ज़्यादा जीवनसाथियों के साथ जीवन...	2
पूर्व सेना प्रमुख वीके सिंह भाजपा में शामिल	0
साइना ने जीता इंडोनेशियन ओपन	4
‘राहुल गांधी ने बनाया वेदांता को सियासी मुद्दा’	0
'पिस्टोरियस का बंदूक रखना क्यों ज़रूरी था'	2
फ्रेंच ओपन में नडाल का दबदबा कायम, खिताब पर क़ब्ज़ा	4
जब बेकाबू कार छलांग लगाकर घर में जा घुसी...	2
बांग्लादेश: 1971 युद्ध अपराधों के लिए दो और को मौत की सज़ा 	2
हॉलीवुड और बॉलीवुड: सितारों की 'बदसलूकियां'	3
यूएस ओपनः फेडरर और जोकोविच दूसरे दौर में	4
'चीनी सेना लद्दाख में पहले वाली स्थिति पर जाए'	0
'पति का नाम जोड़ना जरूरी' नहीं	0
दो हफ़्तों में अफ़गा़न सूबा छोड़े अमरीकी फौज: करज़ई	2
पिटाई के आरोप में आठ सैनिक निलंबित	0
दुनिया के 100 प्रभावशाली लोगों में आमिर भी	0
अयोध्या में मंदिर बने, मस्जिद कहीं और बन जाए: शिया वक़्फ़ बोर्ड	0
रणवीर-दीपिका की 'रामलीला'	3
'बंधी हुई महिलाओं' और बर्लुस्कोनी के विज्ञापन पर बवाल	2
ब्रिटेन: पोर्न देखना है तो बताना होगा	2
नेपाल का बेटा लौटाएंगे नरेंद्र मोदी !	2
मैक्सिको में अफ़ीम के खेत मिले	1
विदेश से फ़ोन पर तीन तलाक़, मुफ़्ती की मंज़ूरी	0
इटली ने इंग्लैंड को 2-1 से धोया	4
'कहा था केदारनाथ अभी मत जाओ'	0
पाकिस्तानः पीपीपी के दांव से शरीफ़ हैरान	2
'मृत आदिवासी को प्रताड़ित किया गया'	0
इबोला संक्रमित कितने लोग मरते हैं?	5
इतिहास के पन्नों से	1
जानिए मिट रोमनी के बारे में 	2
नैटो हमले में 30 तालिबान मरे	2
कश्मीर विवादास्पद क्षेत्र है: पाक उच्चायुक्त	0
एंबेसडर की विदाई पर आंसू न बहाएं!	0
लंदन बंधक मामला: संदिग्ध 'पूर्व माओवादी'	2
आईपीएल फ़ाइनल में पहुंची चेन्नई सुपर किंग्स	4
'सीरिया संघर्ष में अकेली पड़ गई हैं महिलाएं'	2
इतिहास के पन्नों से	1
क्या कामयाब होगा भारत का मंगल अभियान?	0
बलात्कार के एक लाख अभियुक्त 'बाइज़्ज़त बरी'	0
तेजाब में जल गई थी जीने की उम्मीद....	2
भारत-ऑस्ट्रेलिया टेस्ट का स्कोर	4
जहाँ 'आई लव यू' कहना नामुमकिन है...	2
कनॉट प्लेस बना चौथा सबसे महंगा ठिकाना 	0
फंडिंग को लेकर आप के रुख़ पर 'सवाल'	0
नवीन पटनायक: 36 घंटे में नौ लाख निकाले	0
उत्तराखंड में तबाही और बचाव के क्या हैं आंकड़ें	0
'राजनीतिक' कपड़े पहने था, मतदान केंद्र से लौटाया	2
खजुराहो में शास्त्रीय नृत्य का मेला	0
बिहार को विशेष राज्य का दर्जा मिलना चाहिए?	0
सीरिया पर रूस और अमरीका में असहमति बरक़रार	2
यौन शोषण: 'जज' पर महाभियोग चले	0
कैसे रुकेंगे यौन अपराध?	0
झारखंडः ग़रीबों से किए आधे-अधूरे वादे	0
क्या चीन की सत्ता अमरीका से ज़्यादा वैध है?	2
सोशल मीडिया पर क्यों छाया ये फ़ोटो?	2
लापता विमान का 'सबसे भरोसेमंद सुराग' मिला	2
रोहिंग्या संकट: आख़िर सू ची की मजबूरी क्या?	2
टोरंटो में हिजाब पहनी लड़की पर कैंची से हमला	2
'मेरा हीरो तो गंजा, बुड्ढा और बदसूरत है'	0
इटली में पहला तलाक़ मेला	1
चरमपंथियों का पता बताओ, इनाम पाओ	2
आडवाणी और जोशी संसदीय बोर्ड से बाहर	0
'डर लगता है जो मलाला के साथ हुआ कहीं मेरे साथ न हो'	2
महाभारत के आगे 'दिया और बाती'	3
आईआईटी प्रवेश परीक्षा के लिए नया फार्मूला 	0
'शादी-शुदा औरतों के साथ वो नहीं होगा...'	0
दतिया हादसा: मृतकों की संख्या 111 हुई, नेताओं का दंगल शुरू	0
'आप' के पास कैसे पहुंची गांधी की टोपी?	0
जैकी चैन की आखिरी एक्शन फिल्म 	3
पाक चुनाव: सौतनें, बहनें, बेटियां, भाभियाँ मैदान में	2
लीबिया: 'अब भी प्रभावशाली नेता ही पसंद'	1
सरकार से वार्ता के लिए तैयार माओवादी	0
इतना मोटापा कि ना एयरलाइन बिठाने को तैयार है, ना ट्रेन	2
मिस यूनिवर्स 2017 में 86 सुंदरियां	3
निगरानी कार्यक्रम से चिंतित बड़ी तकनीकी कंपनियाँ	2
सबसे महंगा खाना खाया है?	2
गूगल में सेंध लगाकर याहू ने बनाया सीईओ	1
नया नहीं है अमरीका में 'कत्लेआम' होना...	2
अदालत में तय होगा बीमा कंपनियों का मामला	1
पुलिस ने 'हत्यारे' का स्केच जारी किया	0
पन्ना उद्यान में एक भी बाघ नहीं	0
कश्मीर में 'ज़ाकिर मूसा की तस्वीर लगा ऑडियो' वायरल	0
अब भी कोहली से बहुत आगे हैं सचिन: रिकी पोंटिंग	4
अमरीका अर्थव्यवस्था की विकास दर धीमी	1
श्रीलंका: प्रभाकरन के बंकर नष्ट किए	2
पापा कमल हासन को बेटी श्रुति का इनकार	3
चीनः उम्रक़ैद के ख़िलाफ़ अपील करेंगे बो शिलाई	2
कसाब: पाकिस्तान की गोल-मोल प्रतिक्रिया 	2
कार से निकले 43 सांप	0
अधिकारी, जिसने राष्ट्रपति की सुविधाओं पर सवाल उठाए	0
दरगाह के फूलों से बनेगा गुलाब का अर्क	0
नज़रिया: सवर्ण नेतृत्व पर ही है बीजेपी का भरोसा	0
तेलुगूदेसम-भाजपा गठबंधन 'रणनीति का हिस्सा'	0
कहीं आपका बच्चा पॉर्न तो नहीं देख रहा?	2
देश में ही अप्रवासीः ईंट-सीमेंट से सील किस्मत	0
तिहाड़ जेल से सुब्रत रॉय की 'जायदाद' का सौदा !	0
बांग्लादेशः एंथ्रेक्स के 19 मरीज़ मिले	2
समंदर और शहरीकरण के बीच फंसा नागांव	0
क्यों नहीं ख़त्म होती है मैला ढोने की प्रथा	0
'दिल्ली में सफ़र दुख़दायी'	0
इराक़ में विद्रोहियों से भिड़ने के लिए सभी विकल्प खुलेः ओबामा	2
क्यों दम तोड़ रहे हैं दादी नानी के क़िस्से	0
जीन डोपिंगः खेलों के सामने सबसे बड़ी चुनौती?	5
अफ़ग़ानिस्तान के मंत्री का इस्तीफ़ा	2
मैं, मेरी दादी और स्वामी विवेकानंद	2
पदोन्नति में आरक्षण: सही या नहीं?	0
बिहार: चलेगी नीतीश की सोशल इंजीनियरिंग?	0
गूगल के डूडल पर जगजीत सिंह	0
  टीम अन्ना में फिर उथल पुथल 	0
मैं एक नाराज़ काली महिला नहीं हूँ: मिशेल	1
फेल हो गया कामसूत्र का पेंटर	0
भोपाल गैस कांड, यूनियन कार्बाइड को नोटिस	0
मध्य प्रदेश: इस रेप केस में अदालत ने क़ायम की मिसाल	0
9/11 ने बढ़ाई नस्ली हिंसा	1
चीन संयु्क्त सैन्य अभ्यास पर चिंतित	1
मैंने 'मुन्ना भाई' और 'थ्री इडियट्स' को ना कहा था: बमन ईरानी	3
ग्लासगो: योगेश्वर और बबीता को सोना	4
अग्नि पर पाक और चीन की प्रतिक्रिया नर्म	1
'नहीं था ये वीना का पब्लिसिटी स्टंट' 	3
ऋषि कपूर की दूसरी पारी !	3
चीन करेगा ब्रिटेन में ऊर्जा का भविष्य सुरक्षित 	2
राजस्थान में अब मीसा बंदियों को मिलेगी पेंशन	0
'असमान वेतन' का हवाला देकर बीबीसी संपादक ने दिया इस्तीफ़ा	2
भारतीय कपड़ों में चीयरलीडर्स	4
वर्ल्ड टी-20 के फ़ाइनल में पहुँचा भारत	4
मोटापा ले सकता है बच्चों की जान	5
......वो बलात्कार समर्थक हैं	0
बॉलीवुड सितारे जो नहीं डालेंगे वोट!	3
क्या मोबाइल नपुंसक बना सकता है?	5
लोकतंत्र के सिवा कोई रास्ता नहीं: नवाज़ शरीफ़	2
भागता फिरता था ओसामा बिन लादेन का परिवार	2
तमिलनाडु-आंध्र प्रदेश में तूफ़ान की आशंका	0
अल्जीरिया, यमन में सरकार विरोधी प्रदर्शन 	1
नए डायनासोर	5
'मुसलमानों के लिए' हलाल सर्च इंजन	2
लापता विमान: चोरी के पासपोर्टों का 'आतंकवाद से संबंध नहीं'	2
एजेंसियों में तालमेल में कोई कमी नहीं: बहुगुणा	0
मोदी पर काटजू और भाजपा आमने-सामने	0
क्या दलाल स्ट्रीट को है मोदी का इंतज़ार?	0
सीरियाई विपक्ष होगा शांति वार्ता में शामिल	2
फाँसी पर बहस: क्या मौत देने से बच जाएंगी ज़िंदगियाँ	0
सोशल सरगर्मी: सुज़ैन का '400 करोड़ का तलाक़'?	0
